alt_id,replaces_reagent_id,name,vendor_examples,animal_impact,cost_per_unit_usd,unit,performance_equivalence,validated_cell_lines,application_scope,notes,source_citation,source_url,verification_status
A001,R001,Human Platelet Lysate (hPL),UltraGRO (Helios Biosciences);PLTMax (Mill Creek BioSolutions);Stemulate (Cook Regentec);PLUS (Atlantis Bioscience),0,3500,liter,drop-in,HeLa;HEK293;MSC;primary human cells;Jurkat,General cell culture; chemosensitivity assays; MSC expansion; endothelial culture,Use at 5% hPL as equivalent to 10% FBS in most protocols. Rauch et al ALTEX 2011 validated for anchorage-dependent and -independent human and animal cell lines. Pons et al ALTEX 2019 validated for chemosensitivity assays. NOT validated as drop-in for all cancer cell lines — check FCS-free database (Utrecht University) for your specific line.,Rauch et al ALTEX 2011 DOI:10.14573/altex.2011.4.305; Pons et al ALTEX 2019 DOI:10.14573/altex.1809211; Peters et al Biomed Res Int 2022 DOI:10.1155/2022/3807314,https://www.altex.org/index.php/altex/article/view/490,VERIFIED
A002,R001,Serum-Free Defined Medium,mTeSR1 (STEMCELL Technologies cat#05850);StemFlex (Gibco);StemMACS iPS-Brew (Miltenyi);B27+N2 supplement system (Gibco),0,4000,liter,optimization-required,iPSC;ESC;neural progenitors;iPSC-CM (B27/RPMI system),Stem cell maintenance; iPSC-CM differentiation and maturation,Fully defined; best reproducibility. Requires adaptation period 2-4 passages for lines previously grown in FBS. B27+RPMI-1640 is the standard serum-free protocol for iPSC-CM per Burridge et al 2014. Not suitable as general FBS drop-in for cancer cell lines.,STEMCELL Technologies mTeSR1 protocol; Burridge et al Nature Methods 2014 DOI:10.1038/nmeth.2999,https://www.stemcell.com/products/mtesr1.html,VERIFIED
A003,R001,Plant-Based Hydrolysates,HyPep series (Kerry);Primatone RL (Sigma-Aldrich);Phytone Peptone (BD Biosciences),0,800,liter,optimization-required,CHO;HEK293;Vero (bioproduction scale),Biopharmaceutical production; not validated for primary research-grade assays,Lowest cost animal-free option. Variable performance across cell lines. Best validated for CHO and HEK293 in bioproduction context not research assays. Requires significant protocol optimization.,Kerry HyPep technical documentation; Chelladurai et al Heliyon 2021 DOI:10.1016/j.heliyon.2021.e07686,https://www.kerry.com,VERIFIED-PARTIAL
A004,R004,TrypLE Express (recombinant fungal protease),TrypLE Express (Gibco cat#12604013);TrypLE Select (Gibco cat#A1285901);CTS TrypLE Select (Gibco — GMP grade),0,120,100mL,drop-in,HeLa;HEK293;HEK293T;CHO-K1;A549;Jurkat;iPSC;primary human keratinocytes;H9C2,All adherent mammalian cell dissociation; GMP cell therapy manufacturing,Direct replacement for bovine or porcine trypsin with no protocol changes required per Gibco product documentation and Nestler et al 2004. Recombinant fungal enzyme produced by microbial fermentation — animal origin-free. Better temperature stability than animal trypsin: stable 12+ months at room temperature vs porcine trypsin which loses 95% activity in 24h at 37C. FDA-preferred for GMP manufacturing.,Nestler et al 2004 Semantic Scholar DOI — Gibco TrypLE Express product documentation cat#12604013; Gibco TrypLE Express & Select product page verified 2026-06-24,https://www.thermofisher.com/order/catalog/product/12604013,VERIFIED
A005,R004,Accutase (protease/collagenase blend),Accutase (STEMCELL Technologies cat#07920);StemPro Accutase (Gibco cat#A1110501),0,150,100mL,drop-in,iPSC;ESC;primary cells;suspension adaptation,iPSC passaging; primary cell dissociation; sensitive cell types,Contains proteolytic and collagenolytic enzymes from microbial sources. Gentler than trypsin for sensitive primary cells. Not animal-origin-free in all formulations — verify CoA. STEMCELL Technologies version confirmed animal-component-free.,STEMCELL Technologies Accutase product documentation cat#07920 verified 2026-06-24,https://www.stemcell.com/products/accutase-cell-detachment-solution.html,VERIFIED-PARTIAL
A006,R005;R010,PEG Synthetic Hydrogel (research-grade),PEG hydrogels (custom formulation per Murphy lab protocol);VitroGel (TheWell Bioscience);GrowDex (UPM Biomedicals),0,15000,liter,optimization-required,iPSC-CM (differentiation and maturation);iPSC (2D coating),iPSC-CM differentiation; 2D cell culture coating; drug screening substrates,PEG hydrogels showed 24% higher cTnT expression and greater reproducibility than Matrigel for iPSC-CM differentiation per RSC Biomaterials Science 2025. HOWEVER: GrowDex and VitroGel did NOT support vascular organoid survival in Nature Scientific Reports 2025 — performance is application-specific. Use for iPSC-CM; verify independently for other applications.,RSC Biomaterials Science 2025 DOI:10.1039/d4bm01636j; Nature Scientific Reports 2025 DOI:10.1038/s41598-025-20091-w; Aisenbrey & Murphy Nature Reviews Materials 2020 DOI:10.1038/s41578-020-0199-8,https://pubs.rsc.org/en/content/articlelanding/2025/bm/d4bm01636j,VERIFIED
A007,R005;R010,Recombinant Laminin Fragments,iMatrix-511 (Nippi/ReproCELL cat#892012);Laminin-521 (BioLamina cat#LN521);LN-511 (BioLamina cat#LN511);Vitronectin XF (STEMCELL Technologies cat#07180),0,25000,liter,drop-in,iPSC;iPSC-CM;primary human cardiomyocytes;neural cells,iPSC maintenance coating; iPSC-CM culture; xeno-free workflows,Fully human recombinant — no mouse or animal origin. iMatrix-511 (Laminin-511 E8 fragment) is the most widely validated drop-in for iPSC culture. Vitronectin XF validated as xeno-free Matrigel replacement for iPSC coating. Higher cost than Matrigel but fully defined and consistent.,Nippi iMatrix-511 product documentation; STEMCELL Technologies Vitronectin XF protocol; Rodin et al Nature Communications 2014 DOI:10.1038/ncomms4195,https://www.reprocell.com/product/imatrix-511,VERIFIED
A008,R005;R010,Fibrin Hydrogel (human recombinant),Human fibrinogen + thrombin (Sigma-Aldrich);CryoSeal fibrin system (Thermogenesis),0,8000,liter,optimization-required,iPSC;vascular organoids;iPSC-CM 3D culture,3D organoid culture; vascular differentiation; scaffold for 3D cardiac constructs,Validated as Matrigel replacement for hiPSC-derived vascular organoids with no significant differences in differentiation efficacy per Nature Scientific Reports 2025. Protocol: 7.5mg/mL fibrinogen + 0.1 U/mL thrombin. Requires protocol optimization but fully defined and human-derived.,Nature Scientific Reports 2025 DOI:10.1038/s41598-025-20091-w — verified 2026-06-24,https://www.nature.com/articles/s41598-025-20091-w,VERIFIED
A009,R007,Recombinant Human Serum Albumin (rHSA),Recombumin (Albumedix/Sartorius);InVitria rHSA (InVitria);OsrHSA (Wuhan Healthgen);Sigma-Aldrich A9731 (rice-derived rHSA),0,63,gram,drop-in,General cell culture supplement;iPSC;MSC;CHO;biopharmaceutical production,Cell culture supplement; cryopreservation; drug formulation stabilizer,Global market price ~$62.6/gram in 2024. Recombumin (Sartorius/Albumedix) is the most widely validated — used in Heartseed HS-001 investigational cardiac cell therapy (March 2023). Structurally equivalent to plasma-derived HSA. Rice-derived (Pichia pastoris expression) — no animal components. Drop-in replacement for BSA in most applications.,Market research verified global price ~$62.6/gram 2024; Recombumin cardiac cell therapy application March 2023 per Albumedix press release,https://www.albumedix.com,VERIFIED
A010,R008,Recombinant Human Insulin,Thermo Fisher 12585-014 (rh insulin 10mg/mL);Sigma-Aldrich I9278 (human recombinant);Novo Nordisk Actrapid (pharmaceutical grade),0,50,gram,drop-in,MCF-7;iPSC differentiation protocols;general supplement,Cell culture insulin supplement; differentiation media; ATCC-specified for MCF-7,ATCC specifically lists Thermo cat#12585-014 recombinant human insulin for MCF-7 (HTB-22) — not bovine. Biosynthetic human insulin sequence. Fully recombinant — no animal origin. Direct drop-in for all bovine insulin applications.,ATCC HTB-22 product sheet specifying Thermo 12585-014; Thermo Fisher recombinant insulin product documentation verified 2026-06-24,https://www.thermofisher.com/order/catalog/product/12585014,VERIFIED
A011,R006,Recombinant Human Collagen Type I,FibroGen rhCollagen Type I;Collgard (BioTissue);CELLMATRIX Type I-A (Nitta Gelatin),0,5000,liter,optimization-required,Fibroblasts;primary cells;3D culture models;cardiac tissue engineering,3D cell culture matrix; tissue engineering scaffold; primary cell attachment,Human sequence — higher specificity for human cells than bovine collagen. Higher cost. Requires protocol optimization if switching from established bovine collagen protocols.,FibroGen recombinant collagen product documentation; CELLMATRIX product documentation,https://www.fibrogen.com,VERIFIED-PARTIAL
A012,R006,Gelatin Methacryloyl (GelMA),GelMA (Sigma-Aldrich 900496);PhotoGel (Advanced BioMatrix);GelMA (Allevi/3D Systems),0,800,liter,optimization-required,Fibroblasts;cardiomyocytes;endothelial cells;3D bioprinting,Photocrosslinkable 3D matrix; cardiac tissue engineering; bioprinting,Photocrosslinkable with UV — tunable stiffness. Patel et al Int J Mol Sci 2023 reviews GelMA for iPSC-CM applications. Does not replicate native collagen fibril structure. Lower cost than recombinant collagen but different mechanical properties.,Patel et al Int J Mol Sci 2023 DOI:10.3390/ijms24129995; Bertlein et al Advanced Materials 2017,https://www.sigmaaldrich.com,VERIFIED
A013,R011,Recombinant Human Fibronectin,"Corning recombinant human fibronectin (cat#356008);Sigma-Aldrich F0895 (human plasma — note: still plasma-derived, verify);R&D Systems 1918-FN",0,400,gram,drop-in,Primary cardiomyocytes;iPSC-CM;fibroblasts;general coating,Cell attachment coating; primary CM culture substrate; wound healing assays,NOTE: Sigma F0895 is plasma-derived from human plasma — not animal-free but human-derived. Corning cat#356008 is recombinant. Verify supplier carefully. Drop-in for coating applications at same concentration as bovine fibronectin.,Corning recombinant fibronectin cat#356008 product documentation; R&D Systems 1918-FN product documentation verified 2026-06-24,https://www.corning.com,VERIFIED-PARTIAL
A014,R009,In Vitro Produced Monoclonal Antibodies,Custom hybridoma serum-free culture (various CROs);CHO-expressed recombinant antibodies;phage display libraries,0,2000,liter,optimization-required,Application-dependent,All antibody applications where ascites-produced antibodies were previously used,In vitro hybridoma culture now standard for most commercial mAb production. Phage display and CHO expression for fully recombinant antibodies. Ascites method increasingly restricted in EU/UK. Verify with supplier whether your specific antibody is ascites-derived before logging animal impact.,Zhiqiang An Therapeutic Monoclonal Antibodies 2009 Wiley; 3R guidance on antibody production ECVAM,https://www.wiley.com,VERIFIED-PARTIAL
